2020-01-25 21:39:21.550899 Epoch [000/100], Step [0000/1056], Loss: 28.1687
2020-01-25 21:41:51.533171 Epoch [000/100], Step [0400/1056], Loss: 0.4155
2020-01-25 21:44:25.052897 Epoch [000/100], Step [0800/1056], Loss: 0.5578
2020-01-25 21:46:04.889213 Epoch [001/100], Step [0000/1056], Loss: 0.7276
2020-01-25 21:48:40.685995 Epoch [001/100], Step [0400/1056], Loss: 0.3719
2020-01-25 21:51:16.126110 Epoch [001/100], Step [0800/1056], Loss: 0.5995
2020-01-25 21:52:55.512580 Epoch [002/100], Step [0000/1056], Loss: 0.3706
2020-01-25 21:55:30.566540 Epoch [002/100], Step [0400/1056], Loss: 0.4508
2020-01-25 21:58:05.802958 Epoch [002/100], Step [0800/1056], Loss: 0.2633
2020-01-25 21:59:45.445088 Epoch [003/100], Step [0000/1056], Loss: 0.3316
2020-01-25 22:02:20.663830 Epoch [003/100], Step [0400/1056], Loss: 0.4221
2020-01-25 22:04:56.145079 Epoch [003/100], Step [0800/1056], Loss: 0.2814
2020-01-25 22:06:35.744506 Epoch [004/100], Step [0000/1056], Loss: 0.2792
2020-01-25 22:09:10.817056 Epoch [004/100], Step [0400/1056], Loss: 0.2385
2020-01-25 22:11:45.812278 Epoch [004/100], Step [0800/1056], Loss: 0.1709
2020-01-25 22:13:27.077296 Epoch [005/100], Step [0000/1056], Loss: 0.3698
2020-01-25 22:16:02.093929 Epoch [005/100], Step [0400/1056], Loss: 0.4618
2020-01-25 22:18:37.302506 Epoch [005/100], Step [0800/1056], Loss: 0.3357
2020-01-25 22:20:16.936233 Epoch [006/100], Step [0000/1056], Loss: 0.1950
2020-01-25 22:22:52.149873 Epoch [006/100], Step [0400/1056], Loss: 0.3169
2020-01-25 22:25:27.606896 Epoch [006/100], Step [0800/1056], Loss: 0.1752
2020-01-25 22:27:07.268294 Epoch [007/100], Step [0000/1056], Loss: 0.2560
2020-01-25 22:29:42.535594 Epoch [007/100], Step [0400/1056], Loss: 0.2462
2020-01-25 22:32:17.778159 Epoch [007/100], Step [0800/1056], Loss: 0.2616
2020-01-25 22:33:57.329082 Epoch [008/100], Step [0000/1056], Loss: 0.1552
2020-01-25 22:36:32.512087 Epoch [008/100], Step [0400/1056], Loss: 0.1790
2020-01-25 22:39:07.438058 Epoch [008/100], Step [0800/1056], Loss: 0.2339
2020-01-25 22:40:46.733020 Epoch [009/100], Step [0000/1056], Loss: 0.3754
2020-01-25 22:43:21.800094 Epoch [009/100], Step [0400/1056], Loss: 0.1730
2020-01-25 22:45:56.836101 Epoch [009/100], Step [0800/1056], Loss: 0.1111
2020-01-25 22:47:37.486878 Epoch [010/100], Step [0000/1056], Loss: 0.1414
2020-01-25 22:50:12.528835 Epoch [010/100], Step [0400/1056], Loss: 0.1363
2020-01-25 22:52:47.664157 Epoch [010/100], Step [0800/1056], Loss: 0.1814
2020-01-25 22:54:27.139648 Epoch [011/100], Step [0000/1056], Loss: 0.1498
2020-01-25 22:57:02.290372 Epoch [011/100], Step [0400/1056], Loss: 0.1345
2020-01-25 22:59:37.299847 Epoch [011/100], Step [0800/1056], Loss: 0.2056
2020-01-25 23:01:16.745344 Epoch [012/100], Step [0000/1056], Loss: 0.1604
2020-01-25 23:03:51.739634 Epoch [012/100], Step [0400/1056], Loss: 0.1417
2020-01-25 23:06:26.620258 Epoch [012/100], Step [0800/1056], Loss: 0.1846
2020-01-25 23:08:05.988010 Epoch [013/100], Step [0000/1056], Loss: 0.1414
2020-01-25 23:10:40.895190 Epoch [013/100], Step [0400/1056], Loss: 0.2282
2020-01-25 23:13:16.065294 Epoch [013/100], Step [0800/1056], Loss: 0.3674
2020-01-25 23:14:55.736217 Epoch [014/100], Step [0000/1056], Loss: 0.2638
2020-01-25 23:17:30.879859 Epoch [014/100], Step [0400/1056], Loss: 0.1548
2020-01-25 23:20:05.987588 Epoch [014/100], Step [0800/1056], Loss: 0.1125
2020-01-25 23:21:46.500550 Epoch [015/100], Step [0000/1056], Loss: 0.1588
2020-01-25 23:24:21.262912 Epoch [015/100], Step [0400/1056], Loss: 0.1076
2020-01-25 23:26:56.212747 Epoch [015/100], Step [0800/1056], Loss: 0.1600
2020-01-25 23:28:35.750818 Epoch [016/100], Step [0000/1056], Loss: 0.1562
2020-01-25 23:31:10.850435 Epoch [016/100], Step [0400/1056], Loss: 0.1233
2020-01-25 23:33:45.745005 Epoch [016/100], Step [0800/1056], Loss: 0.1535
2020-01-25 23:35:25.403860 Epoch [017/100], Step [0000/1056], Loss: 0.1703
2020-01-25 23:38:00.480945 Epoch [017/100], Step [0400/1056], Loss: 0.4026
2020-01-25 23:40:35.844271 Epoch [017/100], Step [0800/1056], Loss: 0.1275
2020-01-25 23:42:15.540412 Epoch [018/100], Step [0000/1056], Loss: 0.0890
2020-01-25 23:44:50.616736 Epoch [018/100], Step [0400/1056], Loss: 0.1024
2020-01-25 23:47:25.669136 Epoch [018/100], Step [0800/1056], Loss: 0.2994
2020-01-25 23:49:05.030941 Epoch [019/100], Step [0000/1056], Loss: 0.0924
2020-01-25 23:51:39.981038 Epoch [019/100], Step [0400/1056], Loss: 0.0920
2020-01-25 23:54:14.842668 Epoch [019/100], Step [0800/1056], Loss: 0.1247
2020-01-25 23:55:55.554604 Epoch [020/100], Step [0000/1056], Loss: 0.1830
2020-01-25 23:58:30.521193 Epoch [020/100], Step [0400/1056], Loss: 0.1304
2020-01-26 00:01:05.366340 Epoch [020/100], Step [0800/1056], Loss: 0.1244
2020-01-26 00:02:44.815750 Epoch [021/100], Step [0000/1056], Loss: 0.1231
2020-01-26 00:05:19.847681 Epoch [021/100], Step [0400/1056], Loss: 0.1307
2020-01-26 00:07:54.965462 Epoch [021/100], Step [0800/1056], Loss: 0.1056
2020-01-26 00:09:34.520794 Epoch [022/100], Step [0000/1056], Loss: 0.0937
2020-01-26 00:12:09.467962 Epoch [022/100], Step [0400/1056], Loss: 0.0849
2020-01-26 00:14:44.383317 Epoch [022/100], Step [0800/1056], Loss: 0.1036
2020-01-26 00:16:23.798555 Epoch [023/100], Step [0000/1056], Loss: 0.0655
2020-01-26 00:18:58.773104 Epoch [023/100], Step [0400/1056], Loss: 0.0678
2020-01-26 00:21:33.819117 Epoch [023/100], Step [0800/1056], Loss: 0.1109
2020-01-26 00:23:13.234325 Epoch [024/100], Step [0000/1056], Loss: 0.5370
2020-01-26 00:25:48.137726 Epoch [024/100], Step [0400/1056], Loss: 0.1325
2020-01-26 00:28:23.384918 Epoch [024/100], Step [0800/1056], Loss: 0.1588
2020-01-26 00:30:04.173392 Epoch [025/100], Step [0000/1056], Loss: 0.1229
2020-01-26 00:32:39.218030 Epoch [025/100], Step [0400/1056], Loss: 0.0940
2020-01-26 00:35:14.418824 Epoch [025/100], Step [0800/1056], Loss: 0.0737
2020-01-26 00:36:54.013728 Epoch [026/100], Step [0000/1056], Loss: 0.1088
2020-01-26 00:39:29.142355 Epoch [026/100], Step [0400/1056], Loss: 0.1244
2020-01-26 00:42:03.962171 Epoch [026/100], Step [0800/1056], Loss: 0.1908
2020-01-26 00:43:43.265035 Epoch [027/100], Step [0000/1056], Loss: 0.0938
2020-01-26 00:46:18.208726 Epoch [027/100], Step [0400/1056], Loss: 0.1087
2020-01-26 00:48:53.133906 Epoch [027/100], Step [0800/1056], Loss: 0.0842
2020-01-26 00:50:32.583364 Epoch [028/100], Step [0000/1056], Loss: 0.0799
2020-01-26 00:53:07.822555 Epoch [028/100], Step [0400/1056], Loss: 0.0920
2020-01-26 00:55:43.097440 Epoch [028/100], Step [0800/1056], Loss: 0.0824
2020-01-26 00:57:22.667498 Epoch [029/100], Step [0000/1056], Loss: 0.0693
2020-01-26 00:59:58.026983 Epoch [029/100], Step [0400/1056], Loss: 0.0872
2020-01-26 01:02:33.425550 Epoch [029/100], Step [0800/1056], Loss: 0.0716
2020-01-26 01:04:14.007841 Epoch [030/100], Step [0000/1056], Loss: 0.0765
2020-01-26 01:06:48.823954 Epoch [030/100], Step [0400/1056], Loss: 0.0649
2020-01-26 01:09:23.649085 Epoch [030/100], Step [0800/1056], Loss: 0.1052
2020-01-26 01:11:03.228263 Epoch [031/100], Step [0000/1056], Loss: 0.1071
2020-01-26 01:13:38.173908 Epoch [031/100], Step [0400/1056], Loss: 0.1102
